curationProvider,offerId,dealerId,uniqueOptionId,optionId,isMobileDealer,isOpen,eta,chamaScore,productBrand,isWinner,minimumPrice,maximumPrice,dynamicPrice,finalPrice,defeatPrimaryReason,defeatReasons,enqueued_time_utc_3
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,6517,b0e296a9-0590-f0e0-8211-243a2ededb12,6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2,TRUE,TRUE,1:00,8,ULTRAGAZ,TRUE,90,180,91.9,91.9,NA,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,6517,d6562c24-0b37-5fb4-8275-65b7b8b47b87,6517 || 6517,FALSE,FALSE,0:01,8,ULTRAGAZ,FALSE,90,180,91.9,91.9,Closed,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,9047,8d0f9262-f543-d0c8-a869-33985ae3ecda,9047 || 9047 || ULTRAGAZ,FALSE,FALSE,1:00,9,ULTRAGAZ,FALSE,99,198,99.95,99.95,Closed,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,9047,3cd346f4-d297-7568-2e50-d43a8e2fd0a9,9047 || 9047 || CONSIGAZ,FALSE,FALSE,1:00,9,CONSIGAZ,FALSE,89.99,179.98,91.89,91.89,Closed,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,9047,577e4bbd-f49d-ac23-56a6-e70072a05229,9047 || 9047 || LIQUIGAS,FALSE,FALSE,1:00,9,LIQUIGAS,FALSE,92,184,93.9,93.9,Closed,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,9047,f9b876ab-2590-952f-d69d-5b352ec251f3,9047 || 9047 || NACIONALGAS,FALSE,FALSE,1:00,9,NACIONALGAS,TRUE,88.9,177.8,90.8,90.8,NA,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,8330,151e59ac-761a-96f5-d2b9-882037a9fd28,8330 || 8330 || CONSIGAZ,FALSE,TRUE,0:01,8,CONSIGAZ,TRUE,80,160,87.35,87.35,NA,,2021-08-25T08:02:55Z
ByPrice,149f0e53-ff85-425f-a01a-8710f06704ea,8835,b7a7b6d1-4dae-7392-5aaf-f3369c29db1d,8835 || 8835 || LIQUIGAS,FALSE,FALSE,0:01,8,LIQUIGAS,TRUE,60,120,87.35,87.35,NA,,2021-08-25T08:02:55Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,6517,b0e296a9-0590-f0e0-8211-243a2ededb12,6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2,TRUE,TRUE,00:12:54.9215999,8,ULTRAGAZ,TRUE,90,180,91.9,91.9,NA,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,6517,d6562c24-0b37-5fb4-8275-65b7b8b47b87,6517 || 6517,FALSE,TRUE,0:01,8,ULTRAGAZ,FALSE,90,180,91.9,91.9,HasDriverInOffer,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,9047,8d0f9262-f543-d0c8-a869-33985ae3ecda,9047 || 9047 || ULTRAGAZ,FALSE,FALSE,1:00,9,ULTRAGAZ,FALSE,99,198,99.95,99.95,Closed,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,9047,3cd346f4-d297-7568-2e50-d43a8e2fd0a9,9047 || 9047 || CONSIGAZ,FALSE,FALSE,1:00,9,CONSIGAZ,FALSE,89.99,179.98,91.89,91.89,Closed,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,9047,577e4bbd-f49d-ac23-56a6-e70072a05229,9047 || 9047 || LIQUIGAS,FALSE,FALSE,1:00,9,LIQUIGAS,FALSE,92,184,93.9,93.9,Closed,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,9047,f9b876ab-2590-952f-d69d-5b352ec251f3,9047 || 9047 || NACIONALGAS,FALSE,FALSE,1:00,9,NACIONALGAS,TRUE,88.9,177.8,90.8,90.8,NA,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,8330,151e59ac-761a-96f5-d2b9-882037a9fd28,8330 || 8330 || CONSIGAZ,FALSE,TRUE,0:01,8,CONSIGAZ,TRUE,80,160,87.35,87.35,NA,,2021-08-25T12:03:29Z
ByPrice,c99aa9a7-ac50-4a10-be0f-ac9f5ac0f45d,8835,b7a7b6d1-4dae-7392-5aaf-f3369c29db1d,8835 || 8835 || LIQUIGAS,FALSE,FALSE,0:01,8,LIQUIGAS,TRUE,60,120,87.35,87.35,NA,,2021-08-25T12:03:29Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,6517,b0e296a9-0590-f0e0-8211-243a2ededb12,6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2,TRUE,TRUE,1:00,8,ULTRAGAZ,TRUE,90,180,91.9,91.9,NA,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,6517,d6562c24-0b37-5fb4-8275-65b7b8b47b87,6517 || 6517,FALSE,FALSE,0:01,8,ULTRAGAZ,FALSE,90,180,91.9,91.9,Closed,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,9047,8d0f9262-f543-d0c8-a869-33985ae3ecda,9047 || 9047 || ULTRAGAZ,FALSE,FALSE,1:00,9,ULTRAGAZ,FALSE,99,198,99.95,99.95,Closed,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,9047,3cd346f4-d297-7568-2e50-d43a8e2fd0a9,9047 || 9047 || CONSIGAZ,FALSE,FALSE,1:00,9,CONSIGAZ,FALSE,89.99,179.98,91.89,91.89,Closed,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,9047,577e4bbd-f49d-ac23-56a6-e70072a05229,9047 || 9047 || LIQUIGAS,FALSE,FALSE,1:00,9,LIQUIGAS,FALSE,92,184,93.9,93.9,Closed,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,9047,f9b876ab-2590-952f-d69d-5b352ec251f3,9047 || 9047 || NACIONALGAS,FALSE,FALSE,1:00,9,NACIONALGAS,TRUE,88.9,177.8,90.8,90.8,NA,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,8330,151e59ac-761a-96f5-d2b9-882037a9fd28,8330 || 8330 || CONSIGAZ,FALSE,TRUE,0:01,8,CONSIGAZ,TRUE,80,160,87.35,87.35,NA,,2021-08-25T08:02:18Z
ByPrice,d668106a-7596-49c6-b99a-18b7a2f3963f,8835,b7a7b6d1-4dae-7392-5aaf-f3369c29db1d,8835 || 8835 || LIQUIGAS,FALSE,FALSE,0:01,8,LIQUIGAS,TRUE,60,120,87.35,87.35,NA,,2021-08-25T08:02:18Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,6517,b0e296a9-0590-f0e0-8211-243a2ededb12,6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2,TRUE,TRUE,00:01:27.4607999,8,ULTRAGAZ,TRUE,90,180,91.9,91.9,NA,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,6517,d6562c24-0b37-5fb4-8275-65b7b8b47b87,6517 || 6517,FALSE,TRUE,0:01,8,ULTRAGAZ,FALSE,90,180,91.9,91.9,HasDriverInOffer,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,9047,8d0f9262-f543-d0c8-a869-33985ae3ecda,9047 || 9047 || ULTRAGAZ,FALSE,FALSE,1:00,9,ULTRAGAZ,FALSE,99,198,99.95,99.95,Closed,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,9047,3cd346f4-d297-7568-2e50-d43a8e2fd0a9,9047 || 9047 || CONSIGAZ,FALSE,FALSE,1:00,9,CONSIGAZ,FALSE,89.99,179.98,91.89,91.89,Closed,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,9047,577e4bbd-f49d-ac23-56a6-e70072a05229,9047 || 9047 || LIQUIGAS,FALSE,FALSE,1:00,9,LIQUIGAS,FALSE,92,184,93.9,93.9,Closed,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,9047,f9b876ab-2590-952f-d69d-5b352ec251f3,9047 || 9047 || NACIONALGAS,FALSE,FALSE,1:00,9,NACIONALGAS,TRUE,88.9,177.8,90.8,90.8,NA,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,8330,151e59ac-761a-96f5-d2b9-882037a9fd28,8330 || 8330 || CONSIGAZ,FALSE,TRUE,0:01,8,CONSIGAZ,TRUE,80,160,87.35,87.35,NA,,2021-08-25T12:02:29Z
ByPrice,0a06a478-77b3-4941-83d3-84ded18d4731,8835,b7a7b6d1-4dae-7392-5aaf-f3369c29db1d,8835 || 8835 || LIQUIGAS,FALSE,FALSE,0:01,8,LIQUIGAS,TRUE,60,120,87.35,87.35,NA,,2021-08-25T12:02:29Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,6517,b0e296a9-0590-f0e0-8211-243a2ededb12,6517 || dd839e4c-9f84-45eb-9cb2-9069fecf70f2,TRUE,TRUE,00:07:11.1911999,8,ULTRAGAZ,TRUE,90,180,91.9,91.9,NA,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,6517,d6562c24-0b37-5fb4-8275-65b7b8b47b87,6517 || 6517,FALSE,TRUE,0:01,8,ULTRAGAZ,FALSE,90,180,91.9,91.9,HasDriverInOffer,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,9047,8d0f9262-f543-d0c8-a869-33985ae3ecda,9047 || 9047 || ULTRAGAZ,FALSE,FALSE,1:00,9,ULTRAGAZ,FALSE,99,198,99.95,99.95,Closed,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,9047,3cd346f4-d297-7568-2e50-d43a8e2fd0a9,9047 || 9047 || CONSIGAZ,FALSE,FALSE,1:00,9,CONSIGAZ,FALSE,89.99,179.98,91.89,91.89,Closed,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,9047,577e4bbd-f49d-ac23-56a6-e70072a05229,9047 || 9047 || LIQUIGAS,FALSE,FALSE,1:00,9,LIQUIGAS,FALSE,92,184,93.9,93.9,Closed,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,9047,f9b876ab-2590-952f-d69d-5b352ec251f3,9047 || 9047 || NACIONALGAS,FALSE,FALSE,1:00,9,NACIONALGAS,TRUE,88.9,177.8,90.8,90.8,NA,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,8330,151e59ac-761a-96f5-d2b9-882037a9fd28,8330 || 8330 || CONSIGAZ,FALSE,TRUE,0:01,8,CONSIGAZ,TRUE,80,160,87.35,87.35,NA,,2021-08-25T12:03:14Z
ByPrice,135d8401-11c0-4d21-bac1-cdb93ba65189,8835,b7a7b6d1-4dae-7392-5aaf-f3369c29db1d,8835 || 8835 || LIQUIGAS,FALSE,FALSE,0:01,8,LIQUIGAS,TRUE,60,120,87.35,87.35,NA,,2021-08-25T12:03:14Z
